ⲁⲡⲁ ⲁⲅⲁⲑⲱⲛⲓⲕⲟⲥ	ⲁⲅⲁⲑⲱⲛⲓⲕⲟⲥ	person	Agathonicus	1
ⲁⲡⲁ ⲁⲛⲧⲱⲛⲓⲟⲥ	ⲁⲛⲧⲱⲛⲓⲟⲥ	person	Anthony the Great	4
ⲁⲡⲁ ⲁⲛⲧⲱⲛⲓⲟⲥ ⲡⲁ ϣⲓⲏⲧ	ⲁⲛⲧⲱⲛⲓⲟⲥ	person	Anthony the Great	1
ⲁⲡⲁ ⲁⲡⲱⲗⲗⲱ	ⲁⲡⲱⲗⲗⲱ	person	Abib and Apollo	2
ⲁⲡⲁ ⲁⲣⲥⲉⲛⲓⲟⲥ	ⲁⲣⲥⲉⲛⲓⲟⲥ	person	Arsenius the Great	2
ⲁⲡⲁ ⲃⲁⲥⲓⲗⲓⲟⲥ ⲡ ⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲛ ⲧ ⲕⲁⲓⲥⲁⲣⲓⲁ ⲛ ⲧ ⲕⲁⲡⲡⲁⲇⲟⲕⲓⲁ	ⲃⲁⲥⲓⲗⲓⲟⲥ	person	Basil of Caesarea	1
ⲁⲡⲁ ⲉⲩⲁⲅⲣⲓⲟⲥ	ⲉⲩⲁⲅⲣⲓⲟⲥ	person	Evagrius Ponticus	1
ⲁⲡⲁ ⲉⲩⲥⲉⲃⲓⲟⲥ ⲡ ⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲛ ⲧ ⲕⲏⲥⲁⲣⲓⲁ ⲛ ⲧ ⲕⲁⲡⲡⲁⲇⲟⲕⲓⲁ	ⲉⲩⲥⲉⲃⲓⲟⲥ	person	Eusebius	1
ⲁⲡⲁ ⲉⲫⲣⲁⲓⲙ	ⲉⲫⲣⲁⲓⲙ	person	Ephrem the Syrian	1
ⲁⲡⲁ ⲑⲉⲟⲫⲓⲗⲟⲥ ⲡ ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲛ ⲣⲁⲕⲟⲧⲉ	ⲑⲉⲟⲫⲓⲗⲟⲥ	person	Pope Theophilus of Alexandria	1
ⲁⲡⲁ ⲑⲉⲟⲫⲓⲗⲟⲥ ⲡ ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	ⲑⲉⲟⲫⲓⲗⲟⲥ	person	Pope Theophilus of Alexandria	1
ⲁⲡⲁ ⲓⲱϩⲁⲛⲛⲏⲥ ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲩ	ⲓⲱϩⲁⲛⲛⲏⲥ	person	John IV of Constantinople	1
ⲁⲡⲁ ⲓⲱϩⲁⲛⲛⲏⲥ ⲡ ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲛ ⲕⲱⲛⲥⲧⲁⲛⲧⲓⲛⲟⲩⲡⲟⲗⲓⲥ	ⲓⲱϩⲁⲛⲛⲏⲥ	person	John IV of Constantinople	2
ⲁⲡⲁ ⲓⲱⲁⲛⲛⲟⲩ ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲩ	ⲓⲱⲁⲛⲛⲟⲩ	person	John IV of Constantinople	1
ⲁⲡⲁ ⲕⲁⲥⲓⲁⲛⲟⲥ	ⲕⲁⲥⲓⲁⲛⲟⲥ	person	John Cassian	1
ⲁⲡⲁ ⲕⲟⲗⲗⲟⲑⲟⲥ	ⲕⲟⲗⲗⲟⲑⲟⲥ	person	Saint Colluthus	1
ⲁⲡⲁ ⲡϣⲟⲓ ⲛ ⲧⲉⲓ ⲉⲣⲏⲙⲓⲁⲥ	ⲡϣⲟⲓ	person	Pishoy	1
ⲁⲡⲁ ⲡⲁⲙⲃⲱ	ⲡⲁⲙⲃⲱ	person	Pambo	4
ⲁⲡⲁ ⲡⲁⲙⲃⲱ · ⲡ ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲛ ⲧ ⲉⲕⲕⲗⲏⲥⲓⲁ · ⲛ ϣⲓⲏⲧ · ⲁⲩⲱ ⲡ ⲛⲟϭ ⲛ ϫⲟⲓ ⲉⲧ ⲣϩⲱⲧ ϩⲙ ⲡ ϫⲁⲓⲉ ⲛ ⲁⲧⲙⲟⲟⲩ	ⲡⲁⲙⲃⲱ	person	Pambo	1
ⲁⲡⲁ ⲡⲁⲙⲃⲱ · ⲡⲉ ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲛ ⲧ ⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ ϣⲓⲏⲧ	ⲡⲁⲙⲃⲱ	person	Pambo	1
ⲁⲡⲁ ⲡⲁⲙⲃⲱ ⲡⲉ ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲛ ⲧ ⲉⲕⲕⲗⲏⲥⲓⲁ · ⲛ ϣⲓⲏⲧ ⲁⲩⲱ ⲡ ⲛⲟϭ ⲛ ϫⲟⲓ ⲉⲧ ⲣϩⲱⲧ ϩⲙ ⲡ ϫⲁⲓⲉ ⲛ ⲁⲧⲙⲟⲟⲩ ·	ⲡⲁⲙⲃⲱ	person	Pambo	1
ⲁⲡⲁ ⲡⲁⲙⲃⲱ ⲡⲉ ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲛ ⲧ ⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ ϣⲓⲏⲧ	ⲡⲁⲙⲃⲱ	person	Pambo	2
ⲁⲡⲁ ⲡⲁⲡⲛⲟⲩⲧⲉ	ⲡⲁⲡⲛⲟⲩⲧⲉ	person	Paphnutius the Ascetic	2
ⲁⲡⲁ ⲡⲟⲓⲙⲏⲛ	ⲡⲟⲓⲙⲏⲛ	person	Poemen	1
ⲁⲡⲟⲗⲗⲱ	ⲁⲡⲟⲗⲗⲱ	person	Apollos	7
ⲁⲡⲟⲗⲗⲱ ⲇⲉ ⲡ ⲥⲟⲛ	ⲁⲡⲟⲗⲗⲱ	person	Apollos	1
ⲁⲡⲟⲗⲗⲱⲛ	ⲁⲡⲟⲗⲗⲱⲛ	person	Apollo	1
ⲁⲡⲟⲗⲗⲱⲛ ⲡ ⲛⲟϭ ⲛ ⲛⲟⲩⲧⲉ	ⲁⲡⲟⲗⲗⲱⲛ	person	Apollo	1
ⲁⲣⲁⲙ	ⲁⲣⲁⲙ	person	Ram (biblical figure)	2
ⲁⲣⲓⲙⲁⲑⲁⲓⲁ	ⲁⲣⲓⲙⲁⲑⲁⲓⲁ	place	Arimathea	1
ⲁⲣⲕⲁⲇⲓⲟⲥ	ⲁⲣⲕⲁⲇⲓⲟⲥ	person	Arcadius	1
ⲁⲣⲭⲏⲗⲁⲟⲥ ⲡ ⲉⲧ ⲟ ⲛ ⲣⲣⲟ ⲉϫⲛ ⲧ ⲓⲟⲩⲇⲁⲓⲁ ⲉ ⲡ ⲙⲁ ⲛ ϩⲏⲣⲱⲇⲏⲥ ⲡⲉϥ ⲉⲓⲱⲧ	ⲁⲣⲭⲏⲗⲁⲟⲥ	person	Herod Archelaus	1
ⲁⲥⲁⲫ	ⲁⲥⲁⲫ	person	Asa of Judah	1
ⲁⲭⲁⲃ	ⲁⲭⲁⲃ	person	Ahab	3
ⲁⲭⲁⲓⲕⲟⲥ	ⲁⲭⲁⲓⲕⲟⲥ	person	Achaicus of Corinth	1
ⲁⲭⲉⲓⲙ	ⲁⲭⲉⲓⲙ	person		1
ⲁⲭⲓⲧⲟⲫⲉⲗ	ⲁⲭⲓⲧⲟⲫⲉⲗ	person	Ahitophel	1
ⲃⲁⲗⲁϩⲁⲙ	ⲃⲁⲗⲁϩⲁⲙ	person	Balaam	1
ⲃⲁⲗⲗⲁ	ⲃⲁⲗⲗⲁ	person	Bilhah	1
ⲃⲁⲣⲁⲃⲃⲁⲥ	ⲃⲁⲣⲁⲃⲃⲁⲥ	person	Barabbas	3
ⲃⲁⲣⲑⲟⲗⲟⲙⲁⲓⲟⲥ	ⲃⲁⲣⲑⲟⲗⲟⲙⲁⲓⲟⲥ	person	Bartholomew the Apostle	1
ⲃⲁⲣⲑⲟⲗⲟⲙⲁⲓⲟⲥ ⲑⲱⲙⲁⲥ	ⲃⲁⲣⲑⲟⲗⲟⲙⲁⲓⲟⲥ	person	Bartholomew the Apostle	1
ⲃⲁⲣⲧⲓⲙⲁⲓⲟⲥ	ⲃⲁⲣⲧⲓⲙⲁⲓⲟⲥ	person		1
