ⲙⲡⲉⲕⲥⲱⲧⲙ	ⲙⲡⲉ|ⲕ|ⲥⲱⲧⲙ	ⲙ|ⲡⲉⲕ|ⲥⲱⲧⲙ
ⲉⲩⲣⲡⲙⲉⲉⲩⲉ	ⲉ|ⲩ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ	ⲉ|ⲩ|ⲣⲡⲙⲉⲉⲩⲉ
ⲛⲧⲉϩⲟⲩⲉⲓⲧⲉ	ⲛ|ⲧⲉ|ϩⲟⲩⲉⲓⲧⲉ	ⲛⲧⲉ|ϩⲟⲩⲉⲓⲧⲉ
ⲡⲉⲧⲛⲁⲛⲟⲩϥ	ⲡ|ⲉⲧ|ⲛⲁⲛⲟⲩ|ϥ	ⲡⲉⲧⲛⲁⲛⲟⲩϥ
ⲉⲧⲉⲕⲛⲁⲃⲱⲕ	ⲉ|ⲧⲉⲕ|ⲛⲁ|ⲃⲱⲕ	ⲉⲧⲉ|ⲕ|ⲛⲁ|ⲃⲱⲕ
ⲁⲛⲁⲩ	ⲁⲛⲁⲩ	ⲁ|ⲛⲁⲩ
ⲧⲁⲉⲓⲟⲩ	ⲧⲁⲉⲓⲟⲩ	ⲧⲁⲉⲓⲟ|ⲩ
ⲛⲉⲩϫⲱ	ⲛⲉ|ⲩ|ϫⲱ	ⲛⲉⲩ|ϫⲱ
ⲙⲡⲓⲛⲁⲩ	ⲙⲡ|ⲓ|ⲛⲁⲩ	ⲙ|ⲡⲓ|ⲛⲁⲩ
ⲉⲧⲣⲁϭⲱ	ⲉ|ⲧⲣ|ⲁ|ϭⲱ	ⲉ|ⲧⲣⲁ|ϭⲱ
ⲙⲡⲓⲟⲩⲱⲙ	ⲙⲡ|ⲓ|ⲟⲩⲱⲙ	ⲙ|ⲡⲓ|ⲟⲩⲱⲙ
ⲙⲡⲉⲓϩⲉ	ⲙ|ⲡⲉⲓ|ϩⲉ	ⲙⲡ|ⲉⲓ|ϩⲉ	ⲙ|ⲡⲉⲓϩⲉ
ⲁⲩⲣⲧϩⲉ	ⲁ|ⲩ|ⲣⲧϩⲉ	ⲁ|ⲩ|ⲣ|ⲧ|ϩⲉ
ⲉⲡⲉϥⲧⲟⲟⲩ	ⲉ|ⲡⲉϥ|ⲧⲟⲟⲩ	ⲉ|ⲡ|ⲉϥⲧⲟⲟⲩ	ⲉ|ⲡⲉ|ϥⲧⲟⲟⲩ
ⲥⲃⲟⲕ	ⲥⲃⲟⲕ	ⲥⲃⲟ|ⲕ
ⲙⲙⲟⲩ	ⲙⲙⲟ|ⲩ	ⲙ|ⲙⲟⲩ	ⲙⲙⲟⲩ
......	......	...|...
ϩⲁⲧⲉⲛϩⲏ	ϩⲁ|ⲧⲉⲛ|ϩⲏ	ϩⲁⲧⲉⲛ|ϩⲏ
ⲉⲣⲱϥ	ⲉⲣⲱ|ϥ	ⲉ|ⲣⲱ|ϥ
ⲡⲙⲁⲓⲣⲱⲙⲉ	ⲡ|ⲙⲁⲓⲣⲱⲙⲉ	ⲡ|ⲙⲁⲓ|ⲣⲱⲙⲉ
ⲙⲡⲉⲧⲡⲉ	ⲙⲡⲉ|ⲧ|ⲡⲉ	ⲙ|ⲡⲉ|ⲧⲡⲉ
ϫⲟⲟⲩ	ϫⲟⲟ|ⲩ	ϫⲟⲟⲩ
ⲛⲧⲁⲕⲱ	ⲛ|ⲧⲁ|ⲕⲱ	ⲛⲧ|ⲁ|ⲕⲱ
ⲛⲁϫⲟⲩⲱⲧ	ⲛ|ⲁ|ϫⲟⲩⲱⲧ	ⲛⲁ|ϫⲟⲩⲱⲧ
ⲉⲧⲉⲧⲛⲥⲱⲧⲙ	ⲉ|ⲧⲉⲧⲛ|ⲥⲱⲧⲙ	ⲉⲧⲉ|ⲧⲛ|ⲥⲱⲧⲙ
ⲥⲁⲥⲁ	ⲥⲁⲥⲁ	ⲥⲁ|ⲥⲁ
ϩⲙⲡⲙⲉϩϣⲟⲙⲛⲧ	ϩⲙ|ⲡ|ⲙⲉϩϣⲟⲙⲛⲧ	ϩⲙ|ⲡ|ⲙⲉϩ|ϣⲟⲙⲛⲧ
ⲉϥⲁϩⲉⲣⲁⲧϥ	ⲉ|ϥ|ⲁϩⲉ|ⲣⲁⲧ|ϥ	ⲉ|ϥ|ⲁϩⲉⲣⲁⲧ|ϥ
ⲁⲕⲕⲁⲁⲧ	ⲁ|ⲕ|ⲕⲁⲁⲧ	ⲁ|ⲕ|ⲕⲁⲁ|ⲧ
ϯⲙⲧⲟⲛ	ϯⲙⲧⲟⲛ	ϯ|ⲙⲧⲟⲛ
