ⲁⲙⲛⲧⲉ	97
ⲟⲩⲉϩⲥⲁϩⲛⲉ	96
ϣⲓⲡⲉ	95
ⲁϫⲓ	95
ⲧⲛⲛⲟⲟⲩ	93
ⲉⲡⲉⲓⲇⲏ	93
ⲡⲟⲛⲏⲣⲟⲛ	93
ϣⲁϩⲣⲁⲓ	93
ⲥⲙⲏ	92
ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	92
ϣⲙⲙⲟ	91
ⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ	91
ϩⲓϫⲛ	91
ⲟⲩⲁϩ	91
ϩⲓⲧⲟⲩⲱ	91
ⲣⲉϥⲣⲛⲟⲃⲉ	90
ⲙⲧⲟⲛ	90
ⲡⲁⲣⲁⲕⲁⲗⲉⲓ	89
ⲙⲡⲣⲧⲣⲉ	89
ⲣϣⲡⲏⲣⲉ	89
...	89
ⲉⲓϣⲁⲛ	88
ϯⲥⲃⲱ	88
ⲁⲇⲁⲙ	88
ⲛⲙ	88
ⲻ	87
ⲡⲁⲣⲁ	87
ⲃⲓⲟⲥ	87
ⲙⲡⲁⲧ	87
ⲉⲛⲧⲟⲗⲏ	87
ⲙⲕⲁϩ	86
ⲧⲛⲧⲱⲛ	86
ⲕⲣⲓⲛⲉ	86
ⲛⲟⲩϫⲉ	86
ϩⲟⲟⲩⲧ	86
ⲟⲣⲅⲏ	85
ⲡⲱϩ	85
ⲙⲱⲩⲥⲏⲥ	85
ⲉⲓⲣⲏⲛⲏ	85
ⲕⲁⲗⲱⲥ	85
ⲙⲉⲗⲟⲥ	85
ⲕⲱⲧ	85
ⲟⲩⲟⲛϩ	84
ⲉⲓⲙⲏⲧⲓ	84
ϥⲓⲧ	84
ⲣⲡⲉ	84
ⲉⲝⲟⲩⲥⲓⲁ	83
ⲛⲟⲩⲃ	83
ϣⲓ	83
ⲁⲅⲁⲑⲟⲛ	83
ⲥⲃⲧⲱⲧ	83
ⲥⲩⲛⲁⲅⲱⲅⲏ	83
ⲉⲕⲉ	83
ⲇⲟⲩⲝ	83
ⲥϩⲟⲩⲟⲣⲧ	83
ϫⲟ	83
