#1|orig_group	count
ⲥϩⲓⲙⲉ	8
ϩⲛⲛⲁⲥⲡⲉ	8
ϩⲛⲧⲉϩⲓⲏ	8
ϩⲛⲧⲙⲏⲧⲉ	7
ⲉⲛⲁⲛⲟⲩϥ	7
ⲉⲛⲁϣⲱϥ	7
ⲁⲩⲡⲱⲧ	7
ⲉⲉⲓⲙⲉ	7
ⲉⲧⲉⲓⲣⲉ	7
ⲉⲧⲟⲟⲧϥ	7
ⲙⲏⲡⲱⲥ	7
ⲛⲥⲙⲟⲧ	7
ⲣⲣⲱⲙⲉ	7
ⲛⲙⲓⲱϩⲁⲛⲛⲏⲥ	7
ⲙⲙⲉⲗⲟⲥ	7
ⲙⲛⲗⲁⲁⲩ	7
ⲙⲡⲉⲙⲧⲟ	7
ⲛⲧⲟⲟⲧϥ	7
ⲙⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	7
ϣⲁⲣⲱⲧ︤ⲛ︥	7
ⲡⲉⲭ︦ⲥ︦	7
ⲛⲥⲁⲟⲩⲛⲁⲙ	7
ⲛⲧⲁϥϫⲟⲟⲥ	7
=	7
]	7
[…]	7
ⲛ̄	7
ⲙⲛ	7
ⲛⲁ	7
ϣϣⲉ	7
ⲉϫⲓ	7
ⲉϭⲱ	7
ⲏⲇⲏ	7
ⲡⲉ`	7
ⲙⲙⲟ	7
ⲛⲏⲩ	7
ⲟⲩⲛ	7
ϣⲗⲏⲗ	7
ⲁϥϩⲉ	7
ⲁϥϫⲓ	7
ⲛ̄ϣⲉ	7
ⲉⲣⲟ̂	7
ⲉⲧⲱⲛ	7
ⲛⲛⲁⲩ	7
ⲛⲟⲩⲁ	7
ⲛⲧⲟⲕ	7
ⲟⲩⲏⲣ	7
ⲛ̄ϭⲓⲡⲛⲟⲩⲧⲉ	7
ⲁ̇ϥⲛⲁⲩ	7
ⲛⲇⲁⲓⲙⲱⲛⲓⲟⲛ	7
ⲛⲉⲧⲉⲓⲣⲉ	7
ⲁϥϣⲁϫⲉ	7
ⲟⲩⲛⲣⲱⲙⲉ	7
ⲛ̄ϩⲉⲛⲣⲱⲙⲉ	7
ⲛ︤ⲙ︥ⲙⲁⲩ	7
ⲛⲧⲉⲓⲙⲓⲛⲉ	7
ϩⲙⲡⲕⲁϩ	7
ⲛⲧⲉⲣⲉϥⲉⲓ	7
ⲛⲧⲉⲣⲟⲩⲉⲓ	7
ⲛ̄ⲥϩⲓⲙⲉ	7
ⲛ̄ϣⲁϫⲉ	7
ⲛ̄ϩⲟⲟⲩ	7
ⲉⲧⲣⲉⲩϣⲱⲡⲉ	7
ⲉϩⲣⲁⲉⲓ	7
ϩⲁⲣⲟⲛ	7
ϩⲓⲃⲟⲗ	7
ϩⲓⲛⲁⲓ	7
ϩⲙⲡⲁⲓ	7
