Mark_03	ⲥⲓⲙⲱⲛ ⲡ ⲕⲁⲛⲁⲛⲁⲓⲟⲥ	person	Simon the Zealot
proclus.13.easter	ⲡⲉ ⲡⲣⲟⲫⲏⲧⲏⲥ ⲇⲁⲩⲉⲓⲇ	person	David
dormition.john.mercad	ⲡ ⲑⲉⲟⲗⲟⲅⲟⲥ ⲓⲱϩⲁⲛⲛⲏⲥ	person	John the Apostle
XL93-94	ⲡ ϫⲟⲉⲓⲥ ⲙ ⲡ ⲉⲟⲟⲩ ⲓⲏⲥⲟⲩⲥ	person	Jesus
on_vigilance	ⲓⲏⲥⲟⲩⲥ	person	Jesus
Mark_01	ⲁⲛⲇⲣⲉⲁⲥ ⲡ ⲥⲟⲛ ⲛ ⲥⲓⲙⲱⲛ	person	Andrew the Apostle
Mark_01	ⲡ ⲓⲟⲣⲇⲁⲛⲏⲥ	place	Jordan River
Mark_03	ⲡ ⲓⲟⲣⲇⲁⲛⲏⲥ	place	Jordan River
1Cor_03	ⲓⲏⲥⲟⲩⲥ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ	person	Jesus
Ruth_02	ⲃⲏⲑⲗⲉⲉⲙ	place	Bethlehem
Ruth_04	ⲃⲏⲑⲗⲉⲉⲙ	place	Bethlehem
XL93-94	ⲡ ϫⲟⲉⲓⲥ ⲡⲉϥ ⲭⲣⲓⲥⲧⲟⲥ ⲓⲏⲥⲟⲩⲥ	person	Jesus
Ruth_04	ⲗⲓⲁ	person	Leah
1Cor_01	ⲥⲧⲉⲫⲁⲛⲁ	person	Stephanas
Mark_07	ⲧⲉ ⲫⲟⲓⲛⲓⲕⲏ ⲛ ⲧ ⲥⲩⲣⲓⲁ	place	Phoenicia
Ruth_04	ⲑⲁⲙⲁⲣ	person	Tamar (Genesis)
a22.YA421-428	ⲧ ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ ⲛ ⲧ ⲡⲉ	place	New Jerusalem
1Cor_01	ⲁⲡⲟⲗⲗⲱ	person	Apollos
1Cor_04	ⲁⲡⲟⲗⲗⲱ	person	Apollos
proclus.13.easter	ⲕⲩⲍⲓⲕⲟⲥ	place	Cyzicus
AP.114.theophilus.02	ⲁⲡⲁ ⲡⲁⲙⲃⲱ	person	Pambo
Mark_01	ⲧ ⲅⲁⲗⲓⲗⲁⲓⲁ ⲧⲏⲣ ⲥ	place	Galilee
Mark_08	ϩⲏⲣⲱⲇⲏⲥ	person	Herod II
Mark_01	ⲡ ⲓⲟⲣⲇⲁⲛⲏⲥ ⲡ ⲓⲉⲣⲟ	place	Jordan River
to_aphthonia	ⲡ ⲇⲓⲁⲃⲟⲗⲟⲥ	person	Devil
